paper_id,title,authors,cited_paper_ids,year
cs/0001027,Pattern Discovery and Computational Mechanics,"['Shalizi Cosma Rohilla', 'Crutchfield James P.']",[],2000
cs/0001025,Computational Geometry Column 38,"[""O'Rourke Joseph""]",[],2000
cs/0001024,A Parallel Algorithm for Dilated Contour Extraction from Bilevel Images,"['Prasad L.', 'Schlei B. R.']",[],2000
cs/0001023,Structured Language Modeling for Speech Recognition,"['Chelba Ciprian', 'Jelinek Frederick']",[],2000
cs/0001022,Recognition Performance of a Structured Language Model,"['Chelba Ciprian', 'Jelinek Frederick']",[],2000
cs/0001021,Refinement of a Structured Language Model,"['Chelba Ciprian', 'Jelinek Frederick']",[],2000
cs/0001020,Exploiting Syntactic Structure for Natural Language Modeling,['Chelba Ciprian'],[],2000
cs/0001015,Multi-Agent Only Knowing,"['Halpern Joseph Y.', 'Lakemeyer Gerhard']",[],2000
cs/0001012,Measures of Distributional Similarity,['Lee Lillian'],[],2000
cs/0001010,A Real World Implementation of Answer Extraction,"['Berri J.', 'Molla D.', 'Hess M.']",[],2000
cs/0001008,"Predicting the expected behavior of agents that learn about agents: the
  CLRI framework","['Durfee Edmund H.', 'Vidal Jose M.']",[],2000
cs/0001004,"Multiplicative Algorithm for Orthgonal Groups and Independent Component
  Analysis",['Akuzawa Toshinao'],['cs/0002006'],2000
cs/0001002,Minimum Description Length and Compositionality,['Zadrozny Wlodek'],['cmp-lg/9503024v1'],2000
cs/0002016,SLT-Resolution for the Well-Founded Semantics,"['Shen Yi-Dong', 'You Jia-Huai', 'Yuan Li-Yan']",[],2000
cs/0002015,Genetic Algorithms for Extension Search in Default Logic,"['Saubion F.', 'Stephan I.', 'Nicolas P.']",[],2000
cs/0002014,Safe cooperative robot dynamics on graphs,"['Ghrist Robert', 'Koditschek Daniel']",['cs/0002014'],2000
cs/0002003,On the accuracy and running time of GSAT,"['East Deborah', 'Truszczynski Miroslaw']",[],2000
cs/0002002,Uniform semantic treatment of default and autoepistemic logics,"['Truszczynski Miroslaw', 'Denecker Marc', 'Marek Victor W.']",[],2000
cs/0002001,Computing large and small stable models,['Truszczynski Miroslaw'],[],2000
cs/0003084,Information Extraction from Broadcast News,"['Gotoh Yoshihiko', 'Renals Steve']",[],2000
cs/0003083,Advances in domain independent linear text segmentation,['Choi Freddy Y. Y.'],[],2000
cs/0003081,Variable Word Rate N-grams,"['Gotoh Yoshihiko', 'Renals Steve']",[],2000
cs/0003080,Some Remarks on Boolean Constraint Propagation,['Apt Krzysztof R.'],[],2000
cs/0003079,Differential Invariants under Gamma Correction,['Siebert Andreas'],[],2000
cs/0003077,DATALOG with constraints - an answer-set programming system,"['East Deborah', 'Truszczynski Miroslaw']",[],2000
cs/0003076,Constraint Programming viewed as Rule-based Programming,"['Monfroy Eric', 'Apt Krzysztof R.']",['cs/9909009v1'],2000
cs/0003072,"MOO: A Methodology for Online Optimization through Mining the Offline
  Optimum","['Tung Anthony K. H.', 'Lee Jason W. H.', 'Tay Y. C.']",[],2000
cs/0003067,Detecting Unsolvable Queries for Definite Logic Programs,"['Denecker Marc', 'Vandecasteele Henk', 'de Waal D. Andre', 'Bruynooghe Maurice']",[],2000
cs/0003061,dcs: An Implementation of DATALOG with Constraints,"['East Deborah', 'Truszczynski Miroslaw']",[],2000
cs/0003060,Message Classification in the Call Center,"['Schmeier Sven', 'Arens Roman G.', 'Busemann Stephan']",[],2000
cs/0003059,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,"['Williams Mary-Anne', 'Sims Aidan']",[],2000
cs/0003057,XNMR: A tool for knowledge bases exploration,"['Castro L.', 'Warren D.']",[],2000
cs/0003056,A note on the Declarative reading(s) of Logic Programming,['Denecker Marc'],[],2000
cs/0003055,TnT - A Statistical Part-of-Speech Tagger,['Brants Thorsten'],[],2000
cs/0003052,A Consistency-Based Model for Belief Change: Preliminary Report,"['Delgrande James', 'Schaub Torsten']",[],2000
cs/0003051,Local Diagnosis,['Wassermann Renata'],[],2000
cs/0003049,Planning with Incomplete Information,"['Miller Rob', 'Toni Francesca', 'Kakas Antonis']",[],2000
cs/0003048,PAL: Pertinence Action Language,"['Cabarcos Manuel', 'Cabalar Pedro', 'Otero Ramon P.']",[],2000
cs/0003046,Linear Tabulated Resolution Based on Prolog Control Strategy,"['Shen Yi-Dong', 'Zhou Neng-Fa', 'You Jia-Huai', 'Yuan Li-Yan']",[],2000
cs/0003044,"On the tractable counting of theory models and its application to belief
  revision and truth maintenance",['Darwiche Adnan'],[],2000
cs/0003042,Fages' Theorem and Answer Set Programming,"['Erdem Esra', 'Babovich Yuliya', 'Lifschitz Vladimir']",[],2000
cs/0003041,"Coherence, Belief Expansion and Bayesian Networks","['Hartmann Stephan', 'Bovens Luc']",[],2000
cs/0003040,Implementing Integrity Constraints in an Existing Belief Revision System,"['Shapiro Stuart C.', 'Johnson Frances L.']",[],2000
cs/0003039,DES: a Challenge Problem for Nonmonotonic Reasoning Systems,"['Hietalahti Maarit', 'Niemela Ilkka', 'Massacci Fabio']",[],2000
cs/0003037,QUIP - A Tool for Computing Nonmonotonic Reasoning Tasks,"['Eiter Thomas', 'Tompits Hans', 'Egly Uwe', 'Woltran Stefan']",[],2000
cs/0003036,DLV - A System for Declarative Problem Solving,"['Eiter Thomas', 'Pfeifer Gerald', 'Faber Wolfgang', 'Koch Christoph', 'Leone Nicola']",[],2000
cs/0003035,Declarative Representation of Revision Strategies,['Brewka Gerhard'],[],2000
cs/0003034,"E-RES: A System for Reasoning about Actions, Events and Observations","['Miller Rob', 'Toni Francesca', 'Kakas Antonis']",[],2000
cs/0003033,Smodels: A System for Answer Set Programming,"['Simons Patrik', 'Niemela Ilkka', 'Syrjanen Tommi']",['cs/0303009'],2000
cs/0003032,cc-Golog: Towards More Realistic Logic-Based Robot Controllers,"['Grosskreutz Henrik', 'Lakemeyer Gerhard']",[],2000
cs/0003031,Optimal Belief Revision,"['Mercer Robert E.', 'Vodislav Carmen']",[],2000
cs/0003030,Problem solving in ID-logic with aggregates: some experiments,"['Van Nuffelen Bert', 'Denecker Marc']",[],2000
cs/0003029,Fuzzy Approaches to Abductive Inference,"['Bouchon-Meunier Bernadette', 'Mellouli Nedra']",[],2000
cs/0003028,Logic Programs with Compiled Preferences,"['Tompits Hans', 'Schaub Torsten', 'Delgrande James P.']",[],2000
cs/0003027,SLDNFA-system,['Van Nuffelen Bert'],[],2000
cs/0003024,A Compiler for Ordered Logic Programs,"['Tompits Hans', 'Schaub Torsten', 'Delgrande James P.']",[],2000
cs/0003023,Probabilistic Default Reasoning with Conditional Constraints,['Lukasiewicz Thomas'],"['1303.5706', 'cs/9808007', '1302.6817', 'cs/0202021', 'cs/0202022', 'cs/0202022', 'cs/0203002', '1303.5434']",2000
cs/0003022,Hypothetical revision and matter-of-fact supposition,['Arlo-Costa Horacio'],[],2000
cs/0003021,Relevance Sensitive Non-Monotonic Inference on Belief Sequences,"['Chopra Samir', 'Georgatos Konstantinos', 'Parikh Rohit']","['cs/0007039v1', 'cs/0007040']",2000
cs/0003020,ACLP: Integrating Abduction and Constraint Solving,['Kakas Antonis'],[],2000
cs/0003017,The lexicographic closure as a revision process,['Booth Richard'],"['cs/0202021', 'cs/0202022', 'cs/0203002']",2000
cs/0003016,"Abductive and Consistency-Based Diagnosis Revisited: a Modeling
  Perspective","[""Dupre' Daniele Theseider""]",[],2000
cs/0003015,On the semantics of merging,['Meyer Thomas'],[],2000
cs/0003014,Applying Maxi-adjustment to Adaptive Information Filtering Agents,"['ter Hofstede Arthur H. M.', 'Bruza Peter D.', 'Lau Raymond']",['1304.1500'],2000
cs/0003013,A flexible framework for defeasible logics,"['Antoniou G.', 'Billigton D.', 'Governatori G.', 'Maher M. J.']",[],2000
cs/0003011,Automatic Belief Revision in SNePS,"['Johnson Frances L.', 'Shapiro Stuart C.']",[],2000
cs/0003009,Conditional indifference and conditional preservation,['Kern-Isberner Gabriele'],['cs/0202025'],2000
cs/0003008,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",['Satoh Ken'],[],2000
cs/0003007,"Computing Circumscriptive Databases by Integer Programming: Revisited
  (Extended Abstract)","['Satoh Ken', 'Okamoto Hidenori']",[],2000
physics/0004057,The information bottleneck method,"['Pereira Fernando C.', 'Bialek William', 'Tishby Naftali']",[],2000
cs/0004003,Searching for Spaceships,['Eppstein David'],[],2000
cs/0004001,"A Theory of Universal Artificial Intelligence based on Algorithmic
  Complexity",['Hutter Marcus'],[],2000
physics/0005062,Applying MDL to Learning Best Model Granularity,"['Vitanyi Paul', 'Gao Qiong', 'Li Ming']",[],2000
cs/0005031,Conditional Plausibility Measures and Bayesian Networks,['Halpern Joseph Y.'],"['1302.6797', '1302.6806']",2000
cs/0005030,Axiomatizing Causal Reasoning,['Halpern Joseph Y.'],[],2000
cs/0005027,A Bayesian Reflection on Surfaces,['Wolf David R.'],[],2000
cs/0005025,Finite-State Reduplication in One-Level Prosodic Morphology,['Walther Markus'],[],2000
cs/0005021,Modeling the Uncertainty in Complex Engineering Systems,['Guergachi A.'],[],2000
cs/0005019,"On the Scalability of the Answer Extraction System ""ExtrAns""","['Hess Michael', ""Aliod Diego Moll'a""]",[],2000
cs/0005017,Reasoning with Individuals for the Description Logic SHIQ,"['Tobies Stephan', 'Sattler Ulrike', 'Horrock Ian']",['cs/0005014'],2000
cs/0005016,Improving Testsuites via Instrumentation,['Broeker Norbert'],[],2000
cs/0005014,Practical Reasoning for Expressive Description Logics,"['Horrocks Ian', 'Tobies Stephan', 'Sattler Ulrike']",[],2000
cs/0005013,Practical Reasoning for Very Expressive Description Logics,"['Horrocks Ian', 'Tobies Stephan', 'Sattler Ulrike']",['cs/0005014'],2000
cs/0005012,Reasoning with Axioms: Theory and Pratice,"['Horrocks Ian', 'Tobies Stephan']",['cs/0005014'],2000
cs/0005010,Extending and Implementing the Stable Model Semantics,['Simons Patrik'],['0903.2749v1'],2000
cs/0005001,Robustness of Regional Matching Scheme over Global Matching Scheme,"['Tokuda Naoyuki', 'Chen Liang']",[],2000
nlin/0006025,"Information Bottlenecks, Causal States, and Statistical Relevance Bases:
  How to Represent Relevant Information in Memoryless Transduction","['Shalizi Cosma Rohilla', 'Crutchfield James P.']",[],2000
math/0006233,Algorithmic Statistics,"['Vitanyi Paul', 'Tromp John', 'Gacs Peter']",[],2000
cs/0006047,Geometric Morphology of Granular Materials,"['Skourikhine A. N.', 'Prasad L.', 'Schlei B. R.']",[],2000
cs/0006044,Finite-State Non-Concatenative Morphotactics,"['Karttunen Lauri', 'Beesley Kenneth R.']",[],2000
cs/0006042,Semantic Parsing based on Verbal Subcategorization,"['Atserias Jordi', 'Civit Montse', 'Castellon Irene', 'Rigau German']",[],2000
cs/0006038,Approximation and Exactness in Finite State Optimality Theory,"['van Noord Gertjan', 'Gerdemann Dale']",[],2000
cs/0006036,Prosody-Based Automatic Segmentation of Speech into Sentences and Topics,"['Hakkani-Tur D.', 'Shriberg E.', 'Stolcke A.', 'Tur G.']",['cs/0105037'],2000
cs/0006031,Verifying Termination of General Logic Programs with Concrete Queries,"['Shen Yi-Dong', 'You Jia-Huai', 'Yuan Li-Yan']",[],2000
cs/0006028,Trainable Methods for Surface Natural Language Generation,['Ratnaparkhi Adwait'],[],2000
cs/0006025,Entropy-based Pruning of Backoff Language Models,['Stolcke A.'],[],2000
cs/0006024,"Can Prosody Aid the Automatic Classification of Dialog Acts in
  Conversational Speech?","['Shriberg E.', 'Bates R.', 'Stolcke A.', 'Jurafsky D.', 'Taylor P.']",['cmp-lg/9806002'],2000
cs/0006023,"Dialogue Act Modeling for Automatic Tagging and Recognition of
  Conversational Speech","['Shriberg E.', 'Bates R.', 'Stolcke A.', 'Coccaro N.', 'Ries K.']",[],2000
